#name: Human, PaxDB integrated dataset
#score: 14.3
#weight: 
#description: integrated dataset: weighted average of 'Human, PeptideAtlas,May,2010' (weighting 60%), 'Human, PeptideAtlas,March,2009' (weighting 90%), 'Human, PeptideAtlas,Aug,2011' (weighting 100%),'Human, GPM, Oct,2012' (weighting 10%)<br/><b>Interaction consistency score</b>: 14.3&nbsp<b>Coverage</b>: 90%
#organ: WHOLE_ORGANISM
#integrated: true
#
#internal_id	string_external_id	abundance
#
975674	9606.ENSP00000000412	32.8205832328056
975675	9606.ENSP00000000442	0.452816651569097
975676	9606.ENSP00000001008	144.045811174616
975678	9606.ENSP00000002125	0.259853177120519
975679	9606.ENSP00000002165	6.53828130698427
975681	9606.ENSP00000002829	0.00933823672243334
975683	9606.ENSP00000003100	3.08113264866468
975687	9606.ENSP00000004921	1.72395257129912
975688	9606.ENSP00000004982	55.9478574576641
975694	9606.ENSP00000005257	26.3880195030004
975695	9606.ENSP00000005260	1.22297758169052
975696	9606.ENSP00000005279	0.325373194042378
975698	9606.ENSP00000005286	0.953098567669988
975699	9606.ENSP00000005340	0.866288869359218
975700	9606.ENSP00000005386	6.17961433753513
975701	9606.ENSP00000005558	1.08240208392069
975702	9606.ENSP00000005587	35.0628873938439
975703	9606.ENSP00000005905	0.156982871039159
975708	9606.ENSP00000006275	3.28669442424459
975710	9606.ENSP00000006658	0.200510191038521
975711	9606.ENSP00000006724	0.100984178778692
975712	9606.ENSP00000006777	1.13281031158557
975714	9606.ENSP00000007390	0.156995605719815
975716	9606.ENSP00000007516	82.3340165251657
975717	9606.ENSP00000007633	0.915360921941857
975719	9606.ENSP00000007699	16.5478281740681
975720	9606.ENSP00000007708	0.267817849952066
975721	9606.ENSP00000007722	6.57582452378956
975722	9606.ENSP00000007735	62.9650225710777
975727	9606.ENSP00000008938	21.7002487403488
975728	9606.ENSP00000009041	0.127361640342117
975730	9606.ENSP00000009180	95.0165036266248
975731	9606.ENSP00000009530	4.94980700769929
975732	9606.ENSP00000009589	193.779373070265
975736	9606.ENSP00000010338	0.656803990178654
975737	9606.ENSP00000010404	42.6614791341656
975738	9606.ENSP00000011292	1.54993098855992
975739	9606.ENSP00000011473	21.4960092241878
975740	9606.ENSP00000011619	2.85143892559256
975741	9606.ENSP00000011653	103.897329187035
975744	9606.ENSP00000011898	1.96128199942642
975745	9606.ENSP00000012049	3.37740020010949
975747	9606.ENSP00000012443	10.6197825376576
975748	9606.ENSP00000013034	186.353389063629
975749	9606.ENSP00000013070	7.25004410593248
975751	9606.ENSP00000013807	0.597175255833353
975752	9606.ENSP00000014914	1.49420974284653
975753	9606.ENSP00000014930	15.4749173697933
975754	9606.ENSP00000014935	0.106257079192025
975755	9606.ENSP00000016171	1.17759205335761
975757	9606.ENSP00000016946	0.289327255624365
975760	9606.ENSP00000019317	1.41696526300787
975768	9606.ENSP00000023939	8.29193400340328
975770	9606.ENSP00000025008	0.162359692867451
975771	9606.ENSP00000025301	0.451737100569675
975773	9606.ENSP00000027335	2.64132902967565
975774	9606.ENSP00000028008	46.7337736577129
975775	9606.ENSP00000029410	0.300619363720095
975776	9606.ENSP00000031135	18.14800026747
975777	9606.ENSP00000031146	0.324988888803036
975779	9606.ENSP00000035307	0.189095420616256
975780	9606.ENSP00000035383	0.272359614275563
975781	9606.ENSP00000037243	6.10020815480161
975783	9606.ENSP00000037869	106.04295270559
975784	9606.ENSP00000039007	0.983905328960916
975787	9606.ENSP00000040663	9.53016467844292
975788	9606.ENSP00000040738	1.16916502619052
975789	9606.ENSP00000040877	0.210950140987561
975793	9606.ENSP00000044462	175.939268943702
975794	9606.ENSP00000045083	0.374599857883073
975796	9606.ENSP00000046794	6.86368803480431
975797	9606.ENSP00000052754	65.8349852904476
975799	9606.ENSP00000053468	6.07503422474512
975801	9606.ENSP00000053867	45.0478446240375
975802	9606.ENSP00000054666	45.5851361779825
975804	9606.ENSP00000054950	36.4750791071918
975805	9606.ENSP00000055077	13.8451191799757
975806	9606.ENSP00000055335	0.250713001356674
975808	9606.ENSP00000056217	0.124312295381632
975811	9606.ENSP00000058691	14.085048460041
975814	9606.ENSP00000064571	0.630796688662028
975815	9606.ENSP00000064724	11.1018523818927
975816	9606.ENSP00000064780	0.505467147941884
975817	9606.ENSP00000070846	6.95041535459131
975818	9606.ENSP00000072516	2.70025157018221
975819	9606.ENSP00000072644	1.00192011105201
975821	9606.ENSP00000074304	0.0955272149462868
975822	9606.ENSP00000075120	5.85984013491904
975824	9606.ENSP00000078429	12.6693727530266
975827	9606.ENSP00000080059	0.268060304297073
975828	9606.ENSP00000081029	6.15401047563414
975830	9606.ENSP00000084795	213.703626445459
975832	9606.ENSP00000085068	18.0027024932931
975833	9606.ENSP00000085219	0.573790933847275
975839	9606.ENSP00000156084	0.158283318746418
975840	9606.ENSP00000156109	7.04412704331181
975841	9606.ENSP00000156471	1.82137965409264
975842	9606.ENSP00000156476	0.297532647144099
975843	9606.ENSP00000156499	0.183848226334287
975845	9606.ENSP00000156825	17.478299745433
975846	9606.ENSP00000157600	2.97526723578526
975847	9606.ENSP00000157812	54.3968378162696
975849	9606.ENSP00000158166	0.265393363194581
975850	9606.ENSP00000158762	2.96591700790428
975851	9606.ENSP00000158771	8.45195613604333
975854	9606.ENSP00000159111	0.380051390219248
975855	9606.ENSP00000160262	2.01352488384029
975857	9606.ENSP00000160382	0.444379584231132
975858	9606.ENSP00000160740	0.39908256448249
975859	9606.ENSP00000160827	1.85245899155262
975860	9606.ENSP00000160874	0.679387173060472
975862	9606.ENSP00000161559	9.98246851618568
975863	9606.ENSP00000161863	1.18408654932211
975864	9606.ENSP00000162044	0.31959327890156
975865	9606.ENSP00000162330	1.00072457486602
